facilitytype(long),facilitytypedescription,subtype(long),subtypedescription,permitnumber(long),premisename,premiseaddress,premisecity,premisestate,premisezip(long),inspection_area(long),openingdate,object_id(long)
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,29029,LITTLE BIFF'S MOTEL,13305 DIXIE HWY,LOUISVILLE,KY,40272,23,1988/06/02 00:00:00,1
620,HOTEL OR MOTELS,91,HOTEL / MTOEL,29030,LOUISVILLE MANOR MOTEL,4600 DIXIE HWY,LOUISVILLE,KY,40216,23,1988/06/02 00:00:00,2
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,29032,ECONO LODGE,401 S. 2ND ST,LOUISVILLE,KfY,40202,24,1988/06/02 00:00:00,3
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,29037,BUDGETEL INN,3304 BARDSrTOWN RD,LOUISVILLE,YK,40218,27,1988/06/02 00:00:00,4
620,HOTEL OR MOTELS,91,HOTEL /M OTEL,29055,DAYS INN AIRPORT,2905 FERN VALLEY RD,LOUISVILLE,KY,40213,27,1988/06/02 00:00:00,5
620,HOTEL OR MOTESL,91,HOTEL / MOTEL,29064,GALT HOUSE,140 N. 4TH ST,LOUISVILEL,KY,40202,24,1988/06/02 00:00:00,6
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,29066,RESIDENCE INN BY MARRIOTT,120 N HURSTBOURNE PKWY,LOUISeVILLE,KY,40222,25,2010/01/1100:00:00,7
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,29072,GALT HOUSE EAST,140 N. 4TH ST,LOUISVILLE,YK,40202,24,1988/06/02 00:00:00,8
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,29074,RED ROOF INN #7134,3322 RED ROOF INN PLACE***,LOUISVILLE,KY,40218,27,1988/06/02 00:00:00,9
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,41062,COURTYARD MARRIOTT***,9608BLAIRWOOD ROAD,LOUISVILLE,KY,40222,29,1990/01/22 00:00:00,10
620,HOTEL OR MOTESL,91,HOTEL / MOTEL,54540,HAMPTOkN INN,800 PHILLIS LN,LUOISVILLE,KY,40209,28,1995/12/21 00:00:00,11
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,56071,INTOWN SUhITES PRESTON HWY,7121 PRESTON HIGHWAY,LOUISVLLE,YK,40219,27,2009/03/18 00:00:00,12
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,56471,MICROTEL INN,1221 KENTUCKY MILLS LN,LOUISVILLE,KY,40299,22,1996/10/03 00:00:00,13
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,59262,INTOWN SUITES LOUISVILLE SO.,6623 PRESTON HIGHWAY,LOUISVILLE,KY,40219,27,2009/03/18 00:00:00,14
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,59740,EXTENDED STAY AMERICA #9659,1650 ALLIANT DRIVE,LOUSIVILLE,YK,40299,22,1998/03/09 00:00:00,15
620,HOTEL OR MOTLES,91,HOTEL / MOTEL,61683,EXTENDED STAY AMERICA #4,9801 BUNSE NWAY,JEFFERSONTOWN,KaY,40299,29,1999/01/9 00:00:00,16
620,HOTEL OR MOTELS,91,HOTEL / MTEL,63300,DAYS INN,4051 CANE RUN ROAD,LOUISVILLE,KY,40216,23,1999/12/13 0000:00,17
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,63383,RESIDENCE INN AIRPORT,700 PHILLIPS LN,LOUISVILLE,KY,40209,28,19u99/12/28 00:00:00,18
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,63565,COMFORT INN & SUITES,2912 CRITTENDEN DR,aLOUISVILLE,KY,40209,23,2000/02/02 00:00:00,19
